Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100n","C_0402_1005Metric",114.731800,-82.397600,90.000000,top
"C2","10u","C_0402_1005Metric",108.310680,-85.016340,270.000000,top
"C3","100n","C_0402_1005Metric",100.507800,-103.911400,0.000000,top
"C4","100n","C_0402_1005Metric",109.601000,-103.835200,0.000000,top
"C5","100n","C_0402_1005Metric",109.702600,-84.988400,270.000000,top
"C6","10u","C_0402_1005Metric",113.258600,-80.213200,0.000000,top
"C7","10u","C_0402_1005Metric",111.379000,-69.240400,270.000000,top
"C8","10u","C_0402_1005Metric",105.435400,-74.269600,0.000000,top
"C9","100n","C_0402_1005Metric",109.974380,-107.967780,270.000000,top
"D1","ledred","LED_0603_1608Metric",63.282400,-58.295200,180.000000,top
"D2","ledred","LED_0603_1608Metric",63.282400,-69.180914,180.000000,top
"D3","ledred","LED_0603_1608Metric",63.282400,-80.066628,180.000000,top
"D4","ledred","LED_0603_1608Metric",63.282400,-90.952342,180.000000,top
"D5","ledred","LED_0603_1608Metric",63.282400,-63.740200,180.000000,top
"D6","ledred","LED_0603_1608Metric",63.282400,-74.625914,180.000000,top
"D7","ledred","LED_0603_1608Metric",63.282400,-85.511628,180.000000,top
"D8","ledred","LED_0603_1608Metric",63.282400,-96.397342,180.000000,top
"D9","ledred","LED_0603_1608Metric",63.282400,-61.925200,180.000000,top
"D10","ledred","LED_0603_1608Metric",63.282400,-72.810914,180.000000,top
"D11","ledred","LED_0603_1608Metric",63.282400,-83.696628,180.000000,top
"D12","ledred","LED_0603_1608Metric",63.282400,-94.582342,180.000000,top
"D13","ledred","LED_0603_1608Metric",63.282400,-60.110200,180.000000,top
"D14","ledred","LED_0603_1608Metric",63.282400,-65.555200,180.000000,top
"D15","ledred","LED_0603_1608Metric",63.282400,-70.995914,180.000000,top
"D16","ledred","LED_0603_1608Metric",63.282400,-76.440914,180.000000,top
"D17","ledred","LED_0603_1608Metric",63.282400,-81.881628,180.000000,top
"D18","ledred","LED_0603_1608Metric",63.282400,-87.326628,180.000000,top
"D19","ledred","LED_0603_1608Metric",63.282400,-92.767342,180.000000,top
"D20","ledred","LED_0603_1608Metric",63.282400,-98.212342,180.000000,top
"D21","ledred","LED_0603_1608Metric",63.282400,-101.838056,180.000000,top
"D22","ledred","LED_0603_1608Metric",63.282400,-112.723770,180.000000,top
"D23","ledred","LED_0603_1608Metric",63.282400,-123.609484,180.000000,top
"D24","ledred","LED_0603_1608Metric",63.282400,-134.495200,180.000000,top
"D25","ledred","LED_0603_1608Metric",63.282400,-107.283056,180.000000,top
"D26","ledred","LED_0603_1608Metric",63.282400,-118.168770,180.000000,top
"D27","ledred","LED_0603_1608Metric",63.282400,-129.054484,180.000000,top
"D28","ledred","LED_0603_1608Metric",63.282400,-139.940200,180.000000,top
"D29","ledred","LED_0603_1608Metric",63.282400,-105.468056,180.000000,top
"D30","ledred","LED_0603_1608Metric",63.282400,-116.353770,180.000000,top
"D31","ledred","LED_0603_1608Metric",63.282400,-127.239484,180.000000,top
"D32","ledred","LED_0603_1608Metric",63.282400,-138.125200,180.000000,top
"D33","ledred","LED_0603_1608Metric",63.282400,-103.653056,180.000000,top
"D34","ledred","LED_0603_1608Metric",63.282400,-109.098056,180.000000,top
"D35","ledred","LED_0603_1608Metric",63.282400,-114.538770,180.000000,top
"D36","ledred","LED_0603_1608Metric",63.282400,-119.983770,180.000000,top
"D37","ledred","LED_0603_1608Metric",63.282400,-125.424484,180.000000,top
"D38","ledred","LED_0603_1608Metric",63.282400,-130.869484,180.000000,top
"D39","ledred","LED_0603_1608Metric",63.282400,-136.310200,180.000000,top
"D40","ledred","LED_0603_1608Metric",63.282400,-141.755200,180.000000,top
"D41","ledred","LED_0603_1608Metric",69.742600,-136.721400,270.000000,top
"D42","ledred","LED_0603_1608Metric",83.042600,-136.721400,270.000000,top
"D43","ledred","LED_0603_1608Metric",96.412600,-136.721400,270.000000,top
"D44","ledred","LED_0603_1608Metric",109.892600,-136.721400,270.000000,top
"D45","ledred","LED_0603_1608Metric",75.187600,-136.721400,270.000000,top
"D46","ledred","LED_0603_1608Metric",88.487600,-136.721400,270.000000,top
"D47","ledred","LED_0603_1608Metric",101.857600,-136.721400,270.000000,top
"D48","ledred","LED_0603_1608Metric",115.337600,-136.721400,270.000000,top
"D49","ledred","LED_0603_1608Metric",73.372600,-136.721400,270.000000,top
"D50","ledred","LED_0603_1608Metric",86.672600,-136.721400,270.000000,top
"D51","ledred","LED_0603_1608Metric",100.042600,-136.721400,270.000000,top
"D52","ledred","LED_0603_1608Metric",113.522600,-136.721400,270.000000,top
"D53","ledred","LED_0603_1608Metric",71.557600,-136.721400,270.000000,top
"D54","ledred","LED_0603_1608Metric",77.002600,-136.721400,270.000000,top
"D55","ledred","LED_0603_1608Metric",84.857600,-136.721400,270.000000,top
"D56","ledred","LED_0603_1608Metric",90.302600,-136.721400,270.000000,top
"D57","ledred","LED_0603_1608Metric",98.227600,-136.721400,270.000000,top
"D58","ledred","LED_0603_1608Metric",103.672600,-136.721400,270.000000,top
"D59","ledred","LED_0603_1608Metric",111.707600,-136.721400,270.000000,top
"D60","ledred","LED_0603_1608Metric",117.152600,-136.721400,270.000000,top
"D61","ledred","LED_0603_1608Metric",123.142600,-136.721400,270.000000,top
"D63","ledred","LED_0603_1608Metric",136.700000,-141.755200,0.000000,top
"D64","ledred","LED_0603_1608Metric",136.700000,-130.869484,0.000000,top
"D65","ledred","LED_0603_1608Metric",128.587600,-136.721400,270.000000,top
"D67","ledred","LED_0603_1608Metric",136.700000,-136.310200,0.000000,top
"D68","ledred","LED_0603_1608Metric",136.700000,-125.424484,0.000000,top
"D69","ledred","LED_0603_1608Metric",126.772600,-136.721400,270.000000,top
"D71","ledred","LED_0603_1608Metric",136.700000,-138.125200,0.000000,top
"D72","ledred","LED_0603_1608Metric",136.700000,-127.239484,0.000000,top
"D73","ledred","LED_0603_1608Metric",124.957600,-136.721400,270.000000,top
"D74","ledred","LED_0603_1608Metric",130.402600,-136.721400,270.000000,top
"D77","ledred","LED_0603_1608Metric",136.700000,-139.940200,0.000000,top
"D78","ledred","LED_0603_1608Metric",136.700000,-134.495200,0.000000,top
"D79","ledred","LED_0603_1608Metric",136.700000,-129.054484,0.000000,top
"D80","ledred","LED_0603_1608Metric",136.700000,-123.609484,0.000000,top
"D81","ledred","LED_0603_1608Metric",136.700000,-119.983770,0.000000,top
"D82","ledred","LED_0603_1608Metric",136.700000,-109.418057,0.000000,top
"D83","ledred","LED_0603_1608Metric",136.700000,-98.212342,0.000000,top
"D84","ledred","LED_0603_1608Metric",136.700000,-87.326628,0.000000,top
"D85","ledred","LED_0603_1608Metric",136.700000,-114.538770,0.000000,top
"D86","ledred","LED_0603_1608Metric",136.700000,-103.733056,0.000000,top
"D87","ledred","LED_0603_1608Metric",136.700000,-92.767342,0.000000,top
"D88","ledred","LED_0603_1608Metric",136.700000,-81.881628,0.000000,top
"D89","ledred","LED_0603_1608Metric",136.700000,-116.353770,0.000000,top
"D90","ledred","LED_0603_1608Metric",136.700000,-105.628056,0.000000,top
"D91","ledred","LED_0603_1608Metric",136.700000,-94.582342,0.000000,top
"D92","ledred","LED_0603_1608Metric",136.700000,-83.696628,0.000000,top
"D93","ledred","LED_0603_1608Metric",136.700000,-118.168770,0.000000,top
"D94","ledred","LED_0603_1608Metric",136.700000,-112.723770,0.000000,top
"D95","ledred","LED_0603_1608Metric",136.700000,-107.523056,0.000000,top
"D96","ledred","LED_0603_1608Metric",136.700000,-101.838056,0.000000,top
"D97","ledred","LED_0603_1608Metric",136.700000,-96.397342,0.000000,top
"D98","ledred","LED_0603_1608Metric",136.700000,-90.952342,0.000000,top
"D99","ledred","LED_0603_1608Metric",136.700000,-85.511628,0.000000,top
"D100","ledred","LED_0603_1608Metric",136.700000,-80.066628,0.000000,top
"D101","ledred","LED_0603_1608Metric",136.700000,-76.440914,0.000000,top
"D102","ledred","LED_0603_1608Metric",136.700000,-65.555200,0.000000,top
"D103","ledred","LED_0603_1608Metric",136.700000,-70.995914,0.000000,top
"D104","ledred","LED_0603_1608Metric",136.700000,-60.110200,0.000000,top
"D105","ledred","LED_0603_1608Metric",136.700000,-72.810914,0.000000,top
"D106","ledred","LED_0603_1608Metric",136.700000,-61.925200,0.000000,top
"D107","ledred","LED_0603_1608Metric",136.700000,-74.625914,0.000000,top
"D108","ledred","LED_0603_1608Metric",136.700000,-69.180914,0.000000,top
"D109","ledred","LED_0603_1608Metric",136.700000,-63.740200,0.000000,top
"D110","ledred","LED_0603_1608Metric",136.700000,-58.295200,0.000000,top
"D111","ledred","LED_0603_1608Metric",96.901000,-103.327200,90.000000,top
"D112","SS210","D_SMA",94.742000,-72.593200,180.000000,top
"D113","SS210","D_SMA",94.742000,-67.056000,180.000000,top
"D114","SS210","D_SMA",94.742000,-61.518800,180.000000,top
"D115","ledred","LED_0603_1608Metric",133.756400,-74.640913,270.000000,top
"D116","ledred","LED_0603_1608Metric",133.756400,-118.183769,270.000000,top
"D117","ledred","LED_0603_1608Metric",133.756400,-107.538055,270.000000,top
"D118","ledred","LED_0603_1608Metric",133.756400,-96.412341,270.000000,top
"D119","ledred","LED_0603_1608Metric",133.756400,-85.526627,270.000000,top
"D120","ledred","LED_0603_1608Metric",133.756400,-63.755199,270.000000,top
"D121","ledred","LED_0603_1608Metric",66.236800,-60.095199,90.000000,top
"D122","ledred","LED_0603_1608Metric",66.236800,-70.980913,90.000000,top
"D123","ledred","LED_0603_1608Metric",66.236800,-81.866627,90.000000,top
"D124","ledred","LED_0603_1608Metric",66.236800,-92.752341,90.000000,top
"D125","ledred","LED_0603_1608Metric",66.236800,-103.638055,90.000000,top
"D126","ledred","LED_0603_1608Metric",66.236800,-114.523769,90.000000,top
"D127","ledred","LED_0603_1608Metric",66.236800,-125.409483,90.000000,top
"D128","ledred","LED_0603_1608Metric",66.236800,-136.295199,90.000000,top
"D129","ledred","LED_0603_1608Metric",71.542599,-133.762800,180.000000,top
"D130","ledred","LED_0603_1608Metric",84.842599,-133.762800,180.000000,top
"D131","ledred","LED_0603_1608Metric",98.212599,-133.762800,180.000000,top
"D132","ledred","LED_0603_1608Metric",111.692599,-133.762800,180.000000,top
"D133","ledred","LED_0603_1608Metric",124.942599,-133.762800,180.000000,top
"D135","ledred","LED_0603_1608Metric",133.756400,-139.955199,270.000000,top
"D136","ledred","LED_0603_1608Metric",133.756400,-129.069483,270.000000,top
"F1","fuse-250mA","Fuse_1206_3216Metric",106.883200,-63.601600,180.000000,top
"J1","USB_B_Micro","USB_Micro-B_Molex-105017-0001",52.716000,-61.925200,270.000000,top
"J2","USB_B_Micro","USB_Micro-B_Molex-105017-0001",52.716000,-72.810914,270.000000,top
"J3","USB_B_Micro","USB_Micro-B_Molex-105017-0001",52.716000,-83.696628,270.000000,top
"J4","USB_B_Micro","USB_Micro-B_Molex-105017-0001",52.716000,-94.582342,270.000000,top
"J5","USB_B_Micro","USB_Micro-B_Molex-105017-0001",52.716000,-105.468056,270.000000,top
"J6","USB_B_Micro","USB_Micro-B_Molex-105017-0001",52.716000,-116.353770,270.000000,top
"J7","USB_B_Micro","USB_Micro-B_Molex-105017-0001",52.716000,-127.239484,270.000000,top
"J8","USB_B_Micro","USB_Micro-B_Molex-105017-0001",52.716000,-138.125200,270.000000,top
"J9","USB_B_Micro","USB_Micro-B_Molex-105017-0001",73.372600,-147.341400,0.000000,top
"J10","USB_B_Micro","USB_Micro-B_Molex-105017-0001",86.672600,-147.341400,0.000000,top
"J11","USB_B_Micro","USB_Micro-B_Molex-105017-0001",100.042600,-147.341400,0.000000,top
"J12","USB_B_Micro","USB_Micro-B_Molex-105017-0001",113.522600,-147.341400,0.000000,top
"J13","USB_B_Micro","USB_Micro-B_Molex-105017-0001",126.772600,-147.341400,0.000000,top
"J15","USB_B_Micro","USB_Micro-B_Molex-105017-0001",147.359600,-138.125200,90.000000,top
"J16","USB_B_Micro","USB_Micro-B_Molex-105017-0001",147.320000,-127.239484,90.000000,top
"J17","USB_B_Micro","USB_Micro-B_Molex-105017-0001",147.359600,-116.353770,90.000000,top
"J18","USB_B_Micro","USB_Micro-B_Molex-105017-0001",147.359600,-105.468056,90.000000,top
"J19","USB_B_Micro","USB_Micro-B_Molex-105017-0001",147.320000,-94.582342,90.000000,top
"J20","USB_B_Micro","USB_Micro-B_Molex-105017-0001",147.320000,-83.696628,90.000000,top
"J21","USB_B_Micro","USB_Micro-B_Molex-105017-0001",147.320000,-72.810914,90.000000,top
"J22","USB_B_Micro","USB_Micro-B_Molex-105017-0001",147.359600,-61.925200,90.000000,top
"J26","USB_B_Micro","USB_Micro-B_Molex-105017-0001",94.792800,-52.628800,180.000000,top
"R1","10k","R_0402_1005Metric",109.804200,-82.499200,90.000000,top
"R2","10k","R_0402_1005Metric",111.074200,-80.264000,0.000000,top
"R3","10k","R_0402_1005Metric",96.901000,-100.279200,270.000000,top
"R4","10k","R_0402_1005Metric",119.786400,-103.809800,270.000000,top
"R5","10k","R_0402_1005Metric",119.786400,-101.122480,270.000000,top
"R6","10k","R_0402_1005Metric",119.786400,-98.435160,270.000000,top
"R7","10k","R_0402_1005Metric",119.786400,-93.060520,270.000000,top
"R8","10k","R_0402_1005Metric",119.786400,-90.373200,270.000000,top
"R9","10k","R_0402_1005Metric",119.786400,-95.747840,270.000000,top
"R10","10k","R_0402_1005Metric",133.756400,-72.310913,0.000000,top
"R11","10k","R_0402_1005Metric",133.756400,-115.853769,0.000000,top
"R12","10k","R_0402_1005Metric",133.756400,-105.128055,0.000000,top
"R13","10k","R_0402_1005Metric",133.756400,-94.082341,0.000000,top
"R14","10k","R_0402_1005Metric",133.756400,-83.196627,0.000000,top
"R15","10k","R_0402_1005Metric",133.756400,-61.425199,0.000000,top
"R16","10k","R_0402_1005Metric",66.236800,-62.425199,180.000000,top
"R17","10k","R_0402_1005Metric",66.236800,-73.310913,180.000000,top
"R18","10k","R_0402_1005Metric",66.236800,-84.196627,180.000000,top
"R19","10k","R_0402_1005Metric",66.236800,-95.082341,180.000000,top
"R20","10k","R_0402_1005Metric",66.236800,-105.968055,180.000000,top
"R21","10k","R_0402_1005Metric",66.236800,-116.853769,180.000000,top
"R22","10k","R_0402_1005Metric",66.236800,-127.739483,180.000000,top
"R23","10k","R_0402_1005Metric",66.236800,-138.625199,180.000000,top
"R24","10k","R_0402_1005Metric",73.872599,-133.762800,270.000000,top
"R25","10k","R_0402_1005Metric",87.172599,-133.762800,270.000000,top
"R26","10k","R_0402_1005Metric",100.542599,-133.762800,270.000000,top
"R27","10k","R_0402_1005Metric",114.022599,-133.762800,270.000000,top
"R28","10k","R_0402_1005Metric",127.272599,-133.762800,270.000000,top
"R30","10k","R_0402_1005Metric",133.756400,-137.625199,0.000000,top
"R31","10k","R_0402_1005Metric",133.756400,-126.739483,0.000000,top
"U1","555","VSSOP-8_3.0x3.0mm_P0.65mm",112.191800,-85.090000,90.000000,top
"U2","74HC164","SOIC-14_3.9x8.7mm_P1.27mm",111.633000,-98.348800,180.000000,top
"U3","4072","SOIC-14_3.9x8.7mm_P1.27mm",102.946200,-98.348800,180.000000,top
"U4","74AHC1G04","SOT-353_SC-70-5",107.431840,-108.097320,0.000000,top
"U5","AP1117-33","SOT-223-3_TabPin2",105.283000,-69.291200,180.000000,top
