"Comment","Designator","Footprint","LCSC Part #"
"100n","C3,C4,C1,C5,C9","C_0402_1005Metric","C1525"
"10u","C6,C2,C8,C7","C_0402_1005Metric","C15525"
"ledred","D1,D9,D13,D5,D14,D2,D10,D15,D6,D16,D3,D11,D17,D7,D18,D4,D12,D19,D8,D20,D21,D29,D33,D25,D34,D22,D30,D35,D26,D36,D23,D31,D37,D27,D38,D24,D32,D39,D28,D40,D41,D49,D53,D45,D54,D42,D50,D55,D46,D56,D43,D51,D57,D47,D58,D44,D52,D59,D48,D60,D61,D69,D73,D65,D74,D63,D71,D77,D67,D78,D64,D72,D79,D68,D80,D81,D89,D93,D85,D94,D82,D90,D95,D86,D96,D83,D91,D97,D87,D98,D84,D92,D99,D88,D100,D101,D105,D107,D103,D108,D102,D106,D109,D104,D110,D111,D115,D120,D116,D117,D118,D119,D133,D135,D136,D132,D131,D130,D129,D125,D126,D127,D128,D124,D123,D122,D121","LED_0603_1608Metric","C2286"
"SS210","D113,D112,D114","D_SMA","C14996"
"fuse-250mA","F1","Fuse_1206_3216Metric","C70068"
"10k","R2,R1,R3,R4,R5,R6,R7,R8,R9,R10,R15,R11,R12,R13,R14,R28,R30,R31,R27,R26,R25,R24,R20,R21,R22,R23,R19,R18,R17,R16","R_0402_1005Metric","C25744"
"555","U1","VSSOP-8_3.0x3.0mm_P0.65mm","C398924"
"74HC164","U2","SOIC-14_3.9x8.7mm_P1.27mm","C6825"
"4072","U3","SOIC-14_3.9x8.7mm_P1.27mm","C68527"
"74AHC1G04","U4","SOT-353_SC-70-5","C7466"
"AP1117-33","U5","SOT-223-3_TabPin2","C6186"
